,SEREMI de Salud,Codigo Establecimiento,Nombre Establecimiento,Total,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,no_aplica_reporte
43,SEREMI Metropolitana de Santiago,109200,Hospital Clínico Universidad de Chile,,,,,,,,,,,,,,aplica
44,SEREMI Metropolitana de Santiago,109201,Clínica Dávila,5.981,3.312,2.669,,,,,,,,,,,aplica
45,SEREMI Metropolitana de Santiago,110201,Clínica Psiquiátrica Santa Cecilia,5,2,3,,,,,,,,,,,aplica
46,SEREMI Metropolitana de Santiago,110270,Clínica Los Maitenes,449,143,162,144,,,,,,,,,,aplica
47,SEREMI Metropolitana de Santiago,110272,Clínica Fundación Gantz,30,29,,1,,,,,,,,,,aplica
48,SEREMI Metropolitana de Santiago,111200,Hospital Clínico Red de Salud UC CHRISTUS,,,,,,,,,,,,,,aplica
49,SEREMI Metropolitana de Santiago,111202,Hospital Clínico Mutual de Seguridad C.CH.C.,351,351,,,,,,,,,,,,aplica
50,SEREMI Metropolitana de Santiago,111203,Hospital Penitenciario,,,,,,,,,,,,,,aplica
51,SEREMI Metropolitana de Santiago,111206,Clínica Los Coihues,36,20,5,11,,,,,,,,,,aplica
52,SEREMI Metropolitana de Santiago,111211,Clínica Central,,,,,,,,,,,,,,aplica
53,SEREMI Metropolitana de Santiago,111219,Clínica Santa Rosa ( ex Madre e Hijo),600,435,165,,,,,,,,,,,aplica
54,SEREMI Metropolitana de Santiago,111221,Clínica Juan Pablo II,992,307,314,330,41,,,,,,,,,aplica
55,SEREMI Metropolitana de Santiago,111230,Clínica Hospital del Profesor,1.146,687,459,,,,,,,,,,,aplica
56,SEREMI Metropolitana de Santiago,111276,Clínica UC Red de Salud UC CHRISTUS,,,,,,,,,,,,,,aplica
57,SEREMI Metropolitana de Santiago,111277,Clínica Pedro Montt,27,10,10,6,1,,,,,,,,,aplica
58,SEREMI Metropolitana de Santiago,111294,Establecimiento Penitenciario Santiago 1,74,23,32,17,2,,,,,,,,,aplica
59,SEREMI Metropolitana de Santiago,111295,Red Salud Santiago ex Clínica Bicentenario,1.506,1.506,,,,,,,,,,,,aplica
60,SEREMI Metropolitana de Santiago,112200,Clínica Alemana,,,,,,,,,,,,,,aplica
61,SEREMI Metropolitana de Santiago,112201,Clínica RedSalud Vitacura,,,,,,,,,,,,,,aplica
62,SEREMI Metropolitana de Santiago,112204,Nueva Clínica Cordillera,,,,,,,,,,,,,,aplica
63,SEREMI Metropolitana de Santiago,112205,Clínica Psiquiatrica Bretaña,65,22,12,21,10,,,,,,,,,aplica
64,SEREMI Metropolitana de Santiago,112207,Clínica del Carmen,103,46,42,15,,,,,,,,,,aplica
65,SEREMI Metropolitana de Santiago,112211,Clínica Indisa,2.152,2.152,,,,,,,,,,,,aplica
66,SEREMI Metropolitana de Santiago,112212,Clínica Las Condes,2.390,912,672,806,,,,,,,,,,aplica
67,SEREMI Metropolitana de Santiago,112215,Clínica Macul,22,12,10,,,,,,,,,,,aplica
68,SEREMI Metropolitana de Santiago,112218,Clínica Miguel Claro,,,,,,,,,,,,,,aplica
69,SEREMI Metropolitana de Santiago,112224,Clínica Psiquiatrica Pocuro,34,13,9,12,,,,,,,,,,aplica
70,SEREMI Metropolitana de Santiago,112228,Clínica San Andrés,12,7,3,2,,,,,,,,,,aplica
71,SEREMI Metropolitana de Santiago,112229,Pensionado San José,,,,,,,,,,,,,,aplica
72,SEREMI Metropolitana de Santiago,112238,Hospital FACH,877,471,406,,,,,,,,,,,aplica
73,SEREMI Metropolitana de Santiago,112240,Hospital Carabineros,936,488,448,,,,,,,,,,,aplica
74,SEREMI Metropolitana de Santiago,112241,Clínica Oriente,39,20,18,1,,,,,,,,,,aplica
75,SEREMI Metropolitana de Santiago,112242,Clínica IST Vitacura,113,113,,,,,,,,,,,,aplica
76,SEREMI Metropolitana de Santiago,112243,Centro CONIN Credes,4,3,,1,,,,,,,,,,aplica
77,SEREMI Metropolitana de Santiago,112244,Hospital del Trabajador Santiago,741,741,,,,,,,,,,,,aplica
78,SEREMI Metropolitana de Santiago,112246,Clínica Europa,4,2,1,1,,,,,,,,,,aplica
79,SEREMI Metropolitana de Santiago,112248,Hospital Dipreca Teniente Hernán Merino,1.675,920,755,,,,,,,,,,,aplica
80,SEREMI Metropolitana de Santiago,112249,Clínica Santa María,4.227,2.538,1.689,,,,,,,,,,,aplica
81,SEREMI Metropolitana de Santiago,112252,Clínica Psiquiatrica Renacer,55,22,17,16,,,,,,,,,,aplica
82,SEREMI Metropolitana de Santiago,112254,Instituto Clínico Oncológico Fundación Arturo López Pérez,850,409,441,,,,,,,,,,,aplica
83,SEREMI Metropolitana de Santiago,112258,Clínica Psicoterapia los Tiempos,,,,,,,,,,,,,,aplica
84,SEREMI Metropolitana de Santiago,112259,Clínica Colonial,845,503,342,,,,,,,,,,,aplica
85,SEREMI Metropolitana de Santiago,112260,Instituto Médico el Arrayán,20,16,4,,,,,,,,,,,aplica
86,SEREMI Metropolitana de Santiago,112261,Clínica San Carlos de Apoquindo Red de Salud UC CHRISTUS,,,,,,,,,,,,,,aplica
87,SEREMI Metropolitana de Santiago,112264,Clínica Instituto El Cedro,22,20,2,,,,,,,,,,,aplica
88,SEREMI Metropolitana de Santiago,112276,Clínica Estética Lifechoice SPA,78,45,33,,,,,,,,,,,aplica
89,SEREMI Metropolitana de Santiago,112278,Clínica Monteblanco,267,204,63,,,,,,,,,,,aplica
90,SEREMI Metropolitana de Santiago,112507,Clínica Fundación Médica San Cristóbal,207,95,60,52,,,,,,,,,,aplica
91,SEREMI Metropolitana de Santiago,112510,Clínica Universidad de Chile Quilín,,,,,,,,,,,,,,aplica
92,SEREMI Metropolitana de Santiago,112530,Hospital Militar de Santiago,1.233,709,524,,,,,,,,,,,aplica
93,SEREMI Metropolitana de Santiago,112954,Red Salud Providencia ex Clínica AvanSalud Providencia,,,,,,,,,,,,,,aplica
94,SEREMI Metropolitana de Santiago,112999,Clínica Corporación de Ayuda al Paciente Mental,2,2,,,,,,,,,,,,aplica
95,SEREMI Metropolitana de Santiago,113213,Clínica San Miguel,,,,,,,,,,,,,,no aplica
96,SEREMI Metropolitana de Santiago,114202,Clínica Psiquiatrica Raquel Gaete,,,,,,,,,,,,,,aplica
97,SEREMI Metropolitana de Santiago,114206,Centro de Rehabilitación Capredena,44,13,14,17,,,,,,,,,,aplica
98,SEREMI Metropolitana de Santiago,114209,Clínica Santa Elena,,,,,,,,,,,,,,no aplica
99,SEREMI Metropolitana de Santiago,114212,Clínica Familia,30,12,11,7,,,,,,,,,,aplica
100,SEREMI Metropolitana de Santiago,114223,Clínica Vespucio,3.464,1.898,1.566,,,,,,,,,,,aplica
101,SEREMI Metropolitana de Santiago,200050,Hospital Clínico Universidad de Los Andes,1.481,813,668,,,,,,,,,,,aplica
102,SEREMI Metropolitana de Santiago,200053,Clínica Ensenada,60,60,,,,,,,,,,,,aplica
103,SEREMI Metropolitana de Santiago,200063,Clínica Alemana de La Dehesa,,,,,,,,,,,,,,aplica
104,SEREMI Metropolitana de Santiago,200081,Clínica Orema,12,9,3,,,,,,,,,,,aplica
105,SEREMI Metropolitana de Santiago,200090,Clínica Policenter,68,35,30,3,,,,,,,,,,aplica
106,SEREMI Metropolitana de Santiago,200091,Mirandes S.P.A.,151,72,79,,,,,,,,,,,aplica
107,SEREMI Metropolitana de Santiago,200193,Clínica WLK,32,22,10,,,,,,,,,,,aplica
108,SEREMI Metropolitana de Santiago,200234,Clínica MEDS La Dehesa,1.713,1.010,703,,,,,,,,,,,aplica
109,SEREMI Metropolitana de Santiago,200486,Clínica BUPA Santiago,2.857,1.573,1.284,,,,,,,,,,,aplica
110,SEREMI Metropolitana de Santiago,200641,Clínica Cima Salud,,,,,,,,,,,,,,no aplica
111,SEREMI Metropolitana de Santiago,201267,Clínica Alonso de Córdova,16,16,,,,,,,,,,,,aplica
112,SEREMI Metropolitana de Santiago,201288,Clínica Indisa (Maipú),339,339,,,,,,,,,,,,aplica
113,SEREMI Metropolitana de Santiago,201310,Centro Médico Santa Lucía,,,,,,,,,,,,,,aplica
